naam gen,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
5S_rRNA,1.460093994,0.502910076,1.972283774,0.2549887,0.798731827,NA
A1BG,197.6246632,-0.25215628,0.328197327,-0.768306927,0.44230486,0.605459056
A1CF,40.62405607,0.304617821,0.738861774,0.41227985,0.680134316,0.797482983
A2M,10990.23216,0.519641207,0.380721402,1.364885728,0.172288969,0.321473867
A2ML1,81.15190128,-0.36899184,0.370833111,-0.995034771,0.319719353,0.4883846
A2MP1,50.21978195,1.316479104,0.868193827,1.516342391,0.129432798,0.263989419
A3GALT2,0.495841465,0.9247587,3.433940096,0.269299602,0.787699139,NA
A4GALT,779.4696369,-2.250033685,0.557353769,-4.036993759,5.41E-05,0.000661931
A4GNT,5.746176416,1.28867631,1.796903944,0.717164829,0.473272398,0.632690469
AAAS,171.1106177,-2.128690846,0.784070378,-2.714923184,0.006629114,0.030066867
AACS,826.5720831,-0.402739915,0.226113943,-1.781137024,0.074890069,0.181151653
AACSP1,25.44900325,0.533625034,1.007362604,0.529724879,0.596302696,0.734883457
AADAC,2.479204613,3.218759487,2.11592989,1.521203279,0.128208833,NA
AADACL2,46.61178456,0.462441682,1.12011068,0.41285356,0.679713907,0.797130667
AADACL3,8.652551669,2.799899837,1.425721661,1.963847443,0.049547786,0.135742417
AADACL4,0,NA,NA,NA,NA,NA
AADACP1,37.5551707,0.216573944,0.802434274,0.269896179,0.787240127,0.870920262
AADAT,67.86890094,-0.758470544,0.51871498,-1.462210605,0.143683506,0.283429505
AAGAB,557.0416874,0.609210091,0.292655254,2.081664629,0.037373114,0.111022424
AAK1,2354.48632,0.967132841,0.285330408,3.389519008,0.000700154,0.005168583
AAMDC,229.1667137,-0.249100098,0.373026818,-0.667780669,0.504273608,0.658720615
AAMP,386.5218684,-2.709775608,0.612860455,-4.421521389,9.80E-06,0.000162849
AANAT,10.5480118,-0.345828372,1.337673489,-0.258529734,0.795998104,0.87669833
AAR2,470.6896873,0.929230503,0.292308526,3.178937385,0.00147816,0.009359491
AARD,31.82205704,-1.532511007,0.583282267,-2.627391733,0.008604222,0.036846988
AARS1,1072.556846,-0.624640697,0.286642865,-2.179160113,0.029319776,0.093164464
AARS1P1,0,NA,NA,NA,NA,NA
AARS2,290.2773186,-1.222066447,0.396365443,-3.083181114,0.002048005,0.012092143
AARSD1,156.5689927,-2.722645188,0.369422032,-7.370013025,1.71E-13,2.50E-11
AARSD1P1,67.38595183,0.539011014,0.763657468,0.70582825,0.480294952,0.637929726
AASDH,240.6435791,1.349166661,0.574096757,2.350068425,0.01876996,0.066759586
AASDHPPT,366.9966183,0.820946314,0.505632602,1.623602414,0.10446069,0.22740294
AASS,1122.951516,1.161053199,0.378189919,3.070026831,0.002140395,0.012504349
AATF,834.0275314,-0.345414201,0.319585775,-1.080818448,0.279777881,0.446478286
AATK,267.0923941,-0.757637871,0.440911812,-1.71834333,0.08573401,0.198727091
ABAT,431.1658843,0.588099955,0.360161049,1.632880502,0.102494132,0.224673537
ABCA1,6231.011808,1.021566499,0.533307289,1.915530727,0.055424854,0.147231038
ABCA10,337.5488737,0.483692887,0.778607382,0.621228231,0.534449467,0.684857929
ABCA11P,40.53862942,0.341114118,0.918527445,0.371370632,0.710361496,0.818585166
ABCA12,16.82786758,-0.257510976,1.180056278,-0.218219233,0.8272583,0.896175761
ABCA13,75.44653498,0.498695783,0.796789746,0.625881277,0.531392816,0.682508297
ABCA17P,31.20500943,-1.127162045,1.010574986,-1.115367054,0.264693162,0.43062312
ABCA2,760.2669764,-2.718654825,0.509119706,-5.339912781,9.30E-08,2.97E-06
ABCA3,504.955404,-2.69977995,0.624461084,-4.323375818,1.54E-05,0.000233701
ABCA4,15.11334521,-1.893578878,1.595966551,-1.186477797,NA,NA
ABCA5,984.9570917,1.578406143,0.766378798,2.059563949,0.039440246,0.115409313
ABCA6,2251.2681,1.111601923,0.432602856,2.56956677,0.010182577,0.041878601
ABCA7,322.5001666,-2.548127871,0.479524879,-5.313859577,1.07E-07,3.39E-06
ABCA8,1649.147566,0.275211973,0.637168348,0.431929763,0.665792462,0.786913806
ABCA9,887.9953295,0.79950888,0.441010875,1.812900602,0.069847153,0.172705371
ABCB1,125.0559906,2.150071244,0.687824397,3.125901396,0.00177261,0.010765783
ABCB10,331.5825662,0.637625775,0.362251675,1.760173437,0.078378404,0.186770158
ABCB10P1,0,NA,NA,NA,NA,NA
ABCB10P3,0,NA,NA,NA,NA,NA
ABCB10P4,0,NA,NA,NA,NA,NA
ABCB11,28.83922123,-1.188627092,0.671986556,-1.768825702,0.076922966,0.184502228
ABCB4,141.1929074,0.880713731,0.675197458,1.304379513,0.192104217,0.346232123
ABCB5,48.94715168,-0.403980248,0.46473084,-0.869277899,0.384695148,0.553982129
ABCB6,55.69703475,0.849921913,1.007864346,0.843289988,NA,NA
ABCB7,469.0104919,0.816524636,0.403211892,2.025050977,0.04286213,0.122316876
ABCB8,219.6091259,-0.430411083,0.809031288,-0.532007957,0.594720484,0.73344457
ABCB9,217.2375326,-0.698225765,0.291684154,-2.393773385,0.016676048,0.061051695
ABCC1,1215.182428,0.637644592,0.404765957,1.575341453,0.11517765,0.243044467
ABCC10,292.3624624,-0.582681597,0.602656839,-0.966854698,0.333616676,0.501847069
ABCC11,30.2206753,-0.21062188,0.493211141,-0.427042016,0.669348725,0.789832219
ABCC12,27.20902077,1.203799165,0.83046451,1.449549198,0.147184271,0.28829359
ABCC13,47.99315338,-0.238843536,0.984154625,-0.242689035,0.808246303,0.884696038
ABCC2,104.663956,0.296885284,0.63885036,0.464718036,0.642133391,0.769073252
ABCC3,655.0762047,-1.227604616,0.821712679,-1.493958468,0.135186475,0.271804288
ABCC4,588.7738716,1.981811549,0.444829963,4.455211463,8.38E-06,0.000142951
ABCC5,964.5317158,0.146992432,0.826189491,0.177916124,NA,NA
ABCC6,189.1805444,-1.222442536,0.412340861,-2.964640789,0.003030365,0.016401318
ABCC6P1,3.63188895,1.492844537,2.472884357,0.603685543,0.546052727,0.694022579
ABCC6P2,3.459218452,-1.621429649,2.694991253,-0.601645607,0.547410064,0.695255064
ABCC8,207.4109303,0.664707479,0.625074322,1.063405512,0.287598094,0.454319316
ABCC9,5193.073281,-1.078518367,0.444418356,-2.426808779,0.015232282,0.057014543
ABCD1,233.2098666,-4.429225709,1.027285716,-4.311581131,1.62E-05,0.00024392
ABCD1P2,0.05452866,-0.429187652,3.524031954,-0.121788808,0.903066278,NA
ABCD1P3,0,NA,NA,NA,NA,NA
ABCD1P4,0,NA,NA,NA,NA,NA
ABCD1P5,0.050946741,-1.671625818,3.514876906,-0.475585878,0.634369439,NA
ABCD2,211.5133698,3.012603619,0.642794338,4.686730171,2.78E-06,5.55E-05
ABCD3,616.104613,0.826382301,0.465761271,1.774261519,0.076019903,0.182959834
ABCD4,618.1189158,0.351941597,0.587463593,0.599086652,0.549115102,0.696666201
ABCE1,870.1113343,1.110657796,0.354264007,3.135113291,0.001717878,0.010481261
