"","NGenes","Direction","PValue","FDR"
"HALLMARK_ALLOGRAFT_REJECTION",200,"Up",6.26462139155278e-08,1.67182242729751e-06
"HALLMARK_INTERFERON_GAMMA_RESPONSE",198,"Up",6.68728970919004e-08,1.67182242729751e-06
"HALLMARK_PROTEIN_SECRETION",96,"Up",2.1638820915516e-05,0.000278437701448217
"HALLMARK_MYOGENESIS",199,"Down",2.22750161158574e-05,0.000278437701448217
"HALLMARK_INFLAMMATORY_RESPONSE",200,"Up",3.10748575881788e-05,0.000310748575881788
"HALLMARK_IL6_JAK_STAT3_SIGNALING",87,"Up",7.2659935939797e-05,0.000605499466164975
"HALLMARK_IL2_STAT5_SIGNALING",198,"Up",0.000603124686143842,0.00430803347245601
"HALLMARK_KRAS_SIGNALING_UP",200,"Up",0.000942711000513141,0.00589194375320713
"HALLMARK_MTORC1_SIGNALING",199,"Up",0.00136054455990785,0.00706412981362815
"HALLMARK_COMPLEMENT",200,"Up",0.00141282596272563,0.00706412981362815
"HALLMARK_ANDROGEN_RESPONSE",100,"Up",0.0017133428399725,0.00778792199987498
"HALLMARK_G2M_CHECKPOINT",200,"Up",0.00334806485602381,0.0139502702334325
"HALLMARK_HEME_METABOLISM",200,"Up",0.00774898886102635,0.0298038033116398
"HALLMARK_INTERFERON_ALPHA_RESPONSE",97,"Up",0.0095675740735484,0.03416990740553
"HALLMARK_UV_RESPONSE_DN",144,"Up",0.0128553081240474,0.0428510270801579
"HALLMARK_E2F_TARGETS",200,"Up",0.0281978360289715,0.0824976485780065
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",199,"Up",0.0293792852982464,0.0824976485780065
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",112,"Up",0.0296991534880824,0.0824976485780065
"HALLMARK_DNA_REPAIR",150,"Down",0.0379190689273474,0.0997870234930194
