"","NGenes","Direction","PValue","FDR"
"GOMF_ANTIGEN_BINDING",172,"Up",9.02902007662856e-22,1.64237875193874e-18
"GOMF_IMMUNOGLOBULIN_RECEPTOR_BINDING",19,"Up",2.84260482242548e-06,0.00256465814869681
"GOMF_BITTER_TASTE_RECEPTOR_ACTIVITY",25,"Up",4.22978254320529e-06,0.00256465814869681
"GOMF_C_X_C_CHEMOKINE_RECEPTOR_ACTIVITY",8,"Up",1.45634893677662e-05,0.00559639055404633
"GOMF_CXCR_CHEMOKINE_RECEPTOR_BINDING",18,"Up",1.5383151605405e-05,0.00559639055404633
"GOMF_IMMUNE_RECEPTOR_ACTIVITY",151,"Up",2.42146908971668e-05,0.00734108712365775
"GOMF_CHEMOKINE_ACTIVITY",47,"Up",5.17097018659523e-05,0.0120510807642778
"GOMF_IGG_RECEPTOR_ACTIVITY",6,"Up",5.30009049555921e-05,0.0120510807642778
"GOMF_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY",10,"Up",6.54909680371731e-05,0.0132364523177353
"GOMF_NADPLUS_NUCLEOTIDASE_CYCLIC_ADP_RIBOSE_GENERATING",16,"Up",0.000105216176279935,0.0180302628498506
"GOMF_CTPASE_ACTIVITY",6,"Up",0.000109034024930377,0.0180302628498506
"GOMF_CHEMOKINE_BINDING",33,"Up",0.000131286845788631,0.01990089770746
"GOMF_TASTE_RECEPTOR_ACTIVITY",31,"Up",0.000158250725709095,0.0221429284665265
"GOMF_G_PROTEIN_COUPLED_CHEMOATTRACTANT_RECEPTOR_ACTIVITY",26,"Up",0.000268606474242829,0.033485542744482
"GOMF_RNA_EXONUCLEASE_ACTIVITY_PRODUCING_5_PHOSPHOMONOESTERS",40,"Up",0.000279899894637423,0.033485542744482
"GOMF_PHOSPHATIDYLINOSITOL_MONOPHOSPHATE_PHOSPHATASE_ACTIVITY",14,"Up",0.000294540233046571,0.033485542744482
"GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",68,"Down",0.000379473389944995,0.0386206352226408
"GOMF_IMMUNOGLOBULIN_RECEPTOR_ACTIVITY",12,"Up",0.00038217231116412,0.0386206352226408
"GOMF_CHITINASE_ACTIVITY",6,"Up",0.000443064019384463,0.0424175500663336
"GOMF_C_C_CHEMOKINE_BINDING",24,"Up",0.000496994187756871,0.0451126462095511
"GOMF_OLIGOSACCHARYL_TRANSFERASE_ACTIVITY",5,"Up",0.000520816696207022,0.0451126462095511
"GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",12,"Up",0.000568335826879774,0.0469910395042868
"GOMF_POLY_A_SPECIFIC_RIBONUCLEASE_ACTIVITY",13,"Up",0.000655679196957466,0.051855672141984
"GOMF_CYTOKINE_RECEPTOR_ACTIVITY",97,"Up",0.000780835978484207,0.0586166239521537
"GOMF_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE",25,"Up",0.000805616052118659,0.0586166239521537
"GOMF_PHOSPHATIDYLINOSITOL_3_5_BISPHOSPHATE_3_PHOSPHATASE_ACTIVITY",11,"Up",0.000881662259046401,0.0616824480463617
"GOMF_RNA_EXONUCLEASE_ACTIVITY",45,"Up",0.000964304487815278,0.0649655504939256
"GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_PHOSPHATASE_ACTIVITY",30,"Up",0.00103194377492156,0.0670394902350826
"GOMF_ODORANT_BINDING",121,"Down",0.00118296453094342,0.0742004304064167
